"日期","铜溢价平均","铜现货进口盈亏","利差改变量","库存改变量"
2016-02-19,95,-468,0,0.103184236235231
2016-02-22,95,-518,0.000798266882269694,0
2016-02-23,87.5,-633,0,0
2016-02-24,85,-661,0,0
2016-02-25,85,-692,0,0
2016-02-26,85,-805,0,-0.0606246218164346
2016-02-29,85,-1145,-0.00070996564446002,0
2016-03-01,80,-1036,0,0
2016-03-02,80,-1276,0,0
2016-03-03,80,-1134,0,0
2016-03-04,77.5,-1099,0,0
2016-03-07,75,-1014,-0.000656687094927833,0
2016-03-08,75,-1251,0,0
2016-03-09,70,-1283,0,0
2016-03-10,70,-1499,0,0
2016-03-11,67.5,-1368,0,0.0606246218164346
2016-03-14,65,-1289,5.85817174307834e-05,0
2016-03-15,65,-1439,0,0
2016-03-16,65,-1469,0,0
2016-03-17,60,-1453,0,0
2016-03-21,60,-1506,0.000174764404584415,-0.0198026272961798
2016-03-22,55,-1467,0,0
2016-03-23,55,-1229,0,0
2016-03-24,50,-1188,0,0
2016-03-29,50,-1113,0.000235211554675985,0.0392207131532816
2016-03-30,52.5,-845,0,0
2016-03-31,52.5,-779,0,0
2016-04-01,52.5,-750,0,0.0190481949706944
2016-04-05,52.5,-471,-0.000468557676691184,0
2016-04-06,55,-437,0,0
2016-04-07,55,-308,0,0
2016-04-08,55,-201,0,0.0370412716803492
2016-04-11,55,-188,0.000106596959398964,0
2016-04-12,55,-202,0,0
2016-04-13,55,-450,0,0
2016-04-14,55,-553,0,0
2016-04-15,55,-528,0,-0.0755075525081454
2016-04-18,55,-375,-0.00123183965150275,0
2016-04-19,50,-546,0,0
2016-04-20,50,-745,0,0
2016-04-21,50,-954,0,0
2016-04-22,50,-889,0,0.0571584138399488
2016-04-25,50,-1043,0.00139987484518844,0
2016-04-26,50,-856,0,0
2016-04-27,50,-859,0,0
2016-04-28,50,-1027,0,0
2016-04-29,50,-894,0,0.0183491386681967
2016-05-03,50,-1033,-0.00072803624571538,0
2016-05-04,50,-828,0,0
2016-05-04,50,-828,0,0
2016-05-05,50,-761,0,0
2016-05-06,50,-731,0,0.0870113769896292
2016-05-09,50,-745,-0.000113383151577828,0
2016-05-10,50,-801,0,0
2016-05-11,50,-760,0,0
2016-05-12,50,-688,0,0
2016-05-13,50,-821,0,0.0487901641694322
2016-05-16,50,-652,-0.000271018599108608,0
2016-05-17,45,-611,0,0
2016-05-18,45,-473,0,0
2016-05-19,50,-448,0,0
2016-05-20,50,-601,0,0.0157483569681389
2016-05-23,45,-505,-0.000398011486058891,0
2016-05-24,45,-577,0,0
2016-05-25,45,-656,0,0
2016-05-26,45,-732,0,0
2016-05-27,45,-737,0,0.0307716586667537
2016-05-31,45,-945,-0.000490521877011041,0
2016-06-01,45,-929,0,0
2016-06-02,40,-715,0,0
2016-06-06,40,-606,0.000235672892888061,-0.0465200156348926
2016-06-07,40,-413,0,0
2016-06-08,40,-160,0,-0.0160003413464409
2016-06-16,50,-313,0.000375038229445401,0
2016-06-17,50,-150,0,-0.0327898228229913
2016-06-20,50,-96,-0.000446215208147471,0
2016-06-21,50,-188,0,0
2016-06-22,50,-409,0,0
2016-06-23,50,-438,0,0
2016-06-24,45,-722,0,-0.0339015516756813
2016-06-27,45,-406,0.000515437657400142,0
2016-06-28,45,-522,0,0
2016-06-29,45,-566,0,0
2016-06-30,45,-740,0,0
2016-07-01,45,-661,0,-0.0173917427118688
2016-07-04,45,-712,-0.000227875304158687,0
2016-07-05,45,-753,0,0
2016-07-06,45,-750,0,0
2016-07-07,45,-499,0,0
2016-07-08,45,-522,0,0.0344861760711694
2016-07-11,45,-558,-0.000433779607329932,0
2016-07-12,45,-603,0,0
2016-07-13,45,-655,0,0
2016-07-14,45,-698,0,0
2016-07-15,45,-787,0,0.0414997309067529
2016-07-18,45,-820,0.000386659669288747,0
2016-07-19,45,-850,0,0
2016-07-20,45,-869,0,0
2016-07-21,45,-941,0,0
2016-07-25,45,-985,-0.000486715373461344,0.02409755157906
2016-07-26,45,-994,0,0
2016-07-27,45,-911,0,0
2016-07-28,45,-795,0,0
2016-07-29,45,-804,0,0.0312525435041042
2016-08-01,45,-794,-0.000547597441997283,0
2016-08-02,45,-622,0,0
2016-08-03,45,-532,0,0
2016-08-04,45,-461,0,0
2016-08-05,45,-429,0,-0.0155041865359653
2016-08-08,45,-444,-4.52455364632343e-05,0
2016-08-09,45,-457,0,0
2016-08-10,45,-396,0,0
2016-08-11,45,-510,0,0
2016-08-12,45,-589,0,-0.0480092191863601
2016-08-15,45,-382,0.000174232211548997,0
2016-08-16,45,-395,0,0
2016-08-17,45,-482,0,0
